Date,Open,High,Low,Close,Adj Close,Volume
2017-07-25,295.000000,295.149994,290.850006,291.399994,242.203461,9559657
2017-07-26,292.000000,294.250000,291.500000,293.649994,244.073593,9209593
2017-07-27,294.700012,295.399994,286.750000,288.549988,239.834579,18892800
2017-07-28,294.299988,294.750000,287.149994,291.549988,242.328125,18494629
2017-07-31,289.500000,290.299988,284.500000,285.250000,237.091721,21247233
2017-08-01,285.299988,288.549988,285.000000,287.850006,239.252777,13542016
2017-08-02,289.799988,289.899994,284.299988,285.450012,237.257980,9867353
2017-08-03,285.000000,285.399994,280.649994,281.399994,233.891708,10199231
2017-08-04,280.399994,284.399994,279.649994,280.750000,233.351486,11283020
2017-08-07,281.600006,283.000000,279.450012,279.850006,232.603424,8451267
2017-08-08,280.100006,281.399994,273.500000,274.149994,227.865707,12741118
2017-08-09,274.000000,275.399994,270.399994,272.850006,226.785217,9910187
2017-08-10,272.649994,274.649994,270.750000,273.100006,226.992981,9995867
2017-08-11,271.000000,274.450012,270.100006,271.500000,225.663147,14409594
2017-08-14,274.399994,274.399994,270.500000,271.250000,225.455338,9693041
2017-08-16,272.000000,281.750000,271.350006,279.200012,232.063156,18692336
2017-08-17,281.850006,282.899994,277.899994,280.000000,232.728088,13703999
2017-08-18,279.250000,284.000000,276.799988,281.850006,234.265793,14869905
2017-08-21,282.350006,285.000000,280.950012,281.600006,234.057953,13088154
2017-08-22,282.000000,285.000000,280.350006,282.899994,235.138504,11956919
2017-08-23,283.500000,285.600006,281.600006,282.549988,234.847534,8747634
2017-08-24,282.000000,283.500000,281.100006,281.450012,233.933319,10819303
2017-08-28,282.100006,283.000000,279.299988,282.450012,234.764465,9974428
2017-08-29,282.350006,282.899994,279.399994,280.250000,232.935867,6141239
2017-08-30,281.149994,282.899994,280.600006,282.000000,234.390427,6534233
2017-08-31,283.000000,283.149994,280.399994,282.250000,234.598221,11221831
2017-09-01,282.200012,284.350006,280.700012,283.600006,235.720291,7247857
2017-09-04,283.450012,283.850006,282.000000,283.100006,235.304733,8480587
2017-09-05,282.649994,283.899994,281.600006,282.850006,235.096954,7820187
2017-09-06,280.500000,281.000000,275.250000,275.700012,229.154068,14165258
2017-09-07,277.000000,277.549988,269.549988,270.399994,224.748825,19218142
2017-09-08,271.149994,273.299988,270.000000,272.350006,226.369614,9716093
2017-09-11,272.399994,274.399994,271.500000,273.600006,227.408585,9314031
2017-09-12,275.500000,278.250000,274.600006,277.649994,230.774826,11464781
2017-09-13,277.399994,277.500000,270.950012,271.500000,225.663147,12126147
2017-09-14,272.299988,272.500000,270.399994,272.000000,226.078705,7041114
2017-09-15,272.000000,272.750000,268.200012,269.299988,223.834518,13147594
2017-09-18,271.000000,271.700012,266.250000,267.000000,221.922852,10152294
2017-09-19,268.000000,270.000000,264.100006,267.850006,222.629364,33882424
2017-09-20,269.399994,272.000000,267.750000,271.549988,225.704697,9604767
2017-09-21,272.000000,272.399994,267.100006,269.549988,224.042328,7759828
2017-09-22,269.500000,270.950012,267.049988,268.450012,223.128067,6877525
2017-09-25,268.500000,269.649994,260.899994,262.250000,217.974792,17583222
2017-09-26,263.299988,263.750000,261.049988,262.450012,218.141022,9581360
2017-09-27,265.100006,265.500000,256.799988,258.500000,214.857910,17533620
2017-09-28,260.399994,263.399994,259.100006,261.549988,217.392975,21604711
2017-09-29,262.799988,262.899994,257.450012,258.299988,214.691650,12172012
2017-10-03,262.500000,262.750000,258.500000,261.399994,217.268280,11497927
2017-10-04,264.100006,268.500000,263.149994,267.399994,222.255310,10779322
2017-10-05,267.399994,269.399994,264.399994,265.250000,220.468307,6937298
2017-10-06,265.799988,267.500000,264.649994,266.149994,221.216370,7856190
2017-10-09,268.000000,269.149994,266.399994,268.000000,222.754028,6088623
